Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,5.29664533703037E-19,-0.000144865532990733,0.0255516997389631,0,0,0,1.32737614108552,0.00516439689746087,-1.19602454514094E-20,7.38329197477677E-20,0.0023298754638689,5.85493569360357E-06,0.00691561364995837,0,0,0,0,0,0,package://Spider.SLDASM/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/body_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FrontLeft_Link_1,-3.46944695195361E-17,0.0255,0.0205,0,0,0,0.00922676977252031,4.24965979791988E-06,-1.68070301361626E-21,5.9292306307801E-21,4.24965979791991E-06,-1.33870853805745E-21,5.2892705313521E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_1.STL,,joint1-2,Origin_FrontLeft_joint_1,Axis_FrontLeft_joint_1,FrontLeft_joint_1,continuous,0.0561119378639181,-0.120623091212984,0,1.5707963267949,0,0.691840766475244,body_link,0,1,0,,,,,,,,,,,,
FrontLeft_Link_2,-1.66533453693773E-16,-6.93889390390723E-18,0.0395000000000001,0,0,0,0.106269557549334,8.39635619451228E-05,-1.88128881320756E-20,-3.81164826264435E-20,0.000102698438654554,5.15553422259384E-21,2.73329764882054E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_2.STL,,joint2-5,Origin_FrontLeft_joint_2,Axis_FrontLeft_joint_2,FrontLeft_joint_2,continuous,0,0.0255,0.041,0,0,0,FrontLeft_Link_1,1,0,0,,,,,,,,,,,,
FrontLeft_Link_3,-0.0601821739751955,-1.52655665885959E-16,-0.0105815979870852,0,0,0,0.0217393761614031,2.00787196323979E-05,-1.91429446079472E-19,-1.21157508511739E-05,5.15782871842404E-05,-1.23666810299128E-19,6.00736400689357E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_3.STL,,joint3-1,Origin_FrontLeft_joint_3,Axis_FrontLeft_joint_3,FrontLeft_joint_3,continuous,0,0,0.079,0,0.7854,1.5708,FrontLeft_Link_2,0,1,0,,,,,,,,,,,,
FrontLeft_Link_4,-5.55111512312578E-17,-0.0062186714819164,-2.77555756156289E-17,0,0,0,0.00206305784706667,5.40069862027422E-08,-3.7843513024301E-23,-4.96308367531817E-24,8.3760148590907E-08,9.0989867380833E-24,5.40069862027423E-08,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontLeft_Link_4.STL,,joint4-8,Origin_FrontLeft_joint_4,Axis_FrontLeft_joint_4,FrontLeft_joint_4,fixed,-0.14151,0,-0.042758,-0.8671,0.84329,0.84911,FrontLeft_Link_3,0,0,0,,,,,,,,,,,,
MidLeft_Link_1,1.26579437496567E-17,0.0255,0.0205,0,0,0,0.0092267697725203,4.24965979791987E-06,-4.78077791885045E-22,2.89703475150705E-21,4.24965979791991E-06,8.09005257296737E-22,5.2892705313521E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_1.STL,,joint1-3,Origin_MidLeft_joint_1,Axis_MidLeft_joint_1,MidLeft_joint_1,continuous,0.0980675851683724,0,0,1.5707963267949,0,1.5707963267949,body_link,0,1,0,,,,,,,,,,,,
MidLeft_Link_2,-1.08332812744749E-16,3.46944695195361E-18,-0.0395,0,0,0,0.106269557549334,8.39635619451228E-05,2.45300005461948E-20,3.85900978066218E-20,0.000102698438654554,-2.78641203109297E-21,2.73329764882054E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_2.STL,,joint2-6,Origin_MidLeft_joint_2,Axis_MidLeft_joint_2,MidLeft_joint_2,continuous,0,0.0255,0.041,3.1416,0,0,MidLeft_Link_1,1,0,0,,,,,,,,,,,,
MidLeft_Link_3,-0.0601821739751955,9.24257615227299E-17,-0.0105815979870852,0,0,0,0.0217393761614031,2.00787196323978E-05,5.66019676991586E-20,-1.21157508511738E-05,5.15782871842404E-05,9.28088296379164E-21,6.00736400689357E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_3.STL,,joint3-14,Origin_MidLeft_joint_3,Axis_MidLeft_joint_3,MidLeft_joint_3,continuous,0,0,-0.079,3.1416,-0.7854,-1.5708,MidLeft_Link_2,0,1,0,,,,,,,,,,,,
MidLeft_Link_4,1.11022302462516E-16,-0.0062186714819164,2.77555756156289E-17,0,0,0,0.00206305784706667,5.40069862027422E-08,5.24997269507131E-23,-4.96308367531817E-24,8.37601485909069E-08,-8.78455837056728E-24,5.40069862027423E-08,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidLeft_Link_4.STL,,joint4-1,Origin_MidLeft_joint_4,Axis_MidLeft_joint_4,MidLeft_joint_4,fixed,-0.14151,0,-0.042758,-2.3543,0.77312,-0.95941,MidLeft_Link_3,0,0,0,,,,,,,,,,,,
BackLeft_Link_1,6.93889390390723E-18,0.0255,0.0205,0,0,0,0.0092267697725203,4.24965979791988E-06,-1.62371399514312E-21,2.32934060494933E-21,4.24965979791991E-06,-3.61765152541977E-22,5.28927053135211E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_1.STL,,joint1-5,Origin_BackLeft_joint_1,Axis_BackLeft_joint_1,BackLeft_joint_1,continuous,0.056112,0.12062,0,1.5708,0,2.4498,body_link,0,1,0,,,,,,,,,,,,
BackLeft_Link_2,2.35922392732846E-16,9.71445146547012E-17,0.0395,0,0,0,0.106269557549334,8.39635619451228E-05,5.06102185984444E-20,-4.91279109407494E-20,0.000102698438654554,-1.54398224416698E-19,2.73329764882055E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_2.STL,,joint2-1,Origin_BackLeft_joint2,Axis_BackLeft_joint2,BackLeft_joint2,continuous,0,0.0255,0.041,0.021783,0,0,BackLeft_Link_1,1,0,0,,,,,,,,,,,,
BackLeft_Link_3,-0.0601821739751954,0.00200000000000009,-0.0105815979870852,0,0,0,0.0217393761614031,2.00787196323978E-05,1.5161889755852E-19,-1.21157508511738E-05,5.15782871842404E-05,2.71050543121376E-20,6.00736400689357E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_3.STL,,joint3-15,Origin_BackLeft_joint_3,Axis_BackLeft_joint_3,BackLeft_joint_3,continuous,0.002,0,0.079,0,0.7854,1.5708,BackLeft_Link_2,0,1,0,,,,,,,,,,,,
BackLeft_Link_4,0,-0.00621867148191635,0,0,0,0,0.00206305784706667,5.40069862027422E-08,-1.69572025573371E-23,6.61744490042422E-24,8.37601485909069E-08,7.73413872737081E-23,5.40069862027422E-08,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackLeft_Link_4.STL,,joint4-5,Origin_BackLeft_joint_4,Axis_BackLeft_joint_4,BackLeft_joint_4,fixed,-0.14151,0.002,-0.042758,-2.6097,-0.022211,-1.5839,BackLeft_Link_3,0,0,0,,,,,,,,,,,,
FrontRight_Link_1,1.38777878078145E-17,0.0255,0.0205,0,0,0,0.0092267697725203,4.24965979791987E-06,-1.73164778208523E-21,5.29395592033938E-21,4.24965979791991E-06,-9.5399584550796E-22,5.28927053135211E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_1.STL,,joint1-1,Origin_FrontRight_joint_1,Axis_FrontRight_joint_1,FrontRight_joint_1,continuous,-0.056112,-0.12062,0,1.5708,0,-0.69184,body_link,0,1,0,,,,,,,,,,,,
FrontRight_Link_2,1.52655665885959E-16,-3.46944695195361E-17,-0.0395000000000001,0,0,0,0.106269557549334,8.39635619451228E-05,1.4087901723497E-22,-6.7762635780344E-21,0.000102698438654554,2.22835061106704E-21,2.73329764882055E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_2.STL,,joint2-4,Origin_FrontRight_joint_2,Axis_FrontRight_joint_2,FrontRight_joint_2,continuous,0,0.0255,0.041,3.1416,0,3.1416,FrontRight_Link_1,1,0,0,,,,,,,,,,,,
FrontRight_Link_3,-0.0601821739751955,1.38777878078145E-17,0.0105815979870852,0,0,0,0.0217393761614032,2.00787196323978E-05,5.50571415715295E-20,1.21157508511739E-05,5.15782871842407E-05,-7.45388993583784E-20,6.0073640068936E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_3.STL,,joint3-18,Origin_FrontRight_joint_3,Axis_FrontRight_joint_3,FrontRight_joint_3,continuous,0,0,-0.079,0,-0.7854,1.5708,FrontRight_Link_2,0,1,0,,,,,,,,,,,,
FrontRight_Link_4,-1.66533453693773E-16,-0.00621867148191638,0,0,0,0,0.00206305784706667,5.40069862027422E-08,-5.99705944100945E-23,1.65436122510606E-24,8.37601485909069E-08,3.80503081774393E-23,5.40069862027422E-08,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/FrontRight_Link_4.STL,,joint4-9,Origin_FrontRight_joint_4,Axis_FrontRight_joint_4,FrontRight_joint_4,fixed,-0.14151,0,0.042758,2.607,0.098772,-1.6291,FrontRight_Link_3,0,0,0,,,,,,,,,,,,
MidRight_Link_1,-8.41097616963304E-17,0.0255,0.0205,0,0,0,0.00922676977252032,4.24965979791988E-06,-1.06358121966661E-21,2.06795153138257E-21,4.24965979791991E-06,2.86413056069044E-23,5.28927053135211E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_1.STL,,joint1-7,Origin_MidRight_joint_1,Axis_MidRight_joint_1,MidRight_joint_1,continuous,-0.098068,0,0,1.5708,0,-1.5708,body_link,0,1,0,,,,,,,,,,,,
MidRight_Link_2,2.69859394554151E-16,6.93889390390723E-18,0.0395,0,0,0,0.106269557549334,8.39635619451228E-05,-3.42573301797734E-21,-2.35800132494318E-20,0.000102698438654554,-2.00838374561794E-21,2.73329764882054E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_2.STL,,joint2-3,Origin_MidRight_joint_2,Axis_MidRight_joint_2,MidRight_joint_2,continuous,0,0.0255,0.041,0,0,3.1416,MidRight_Link_1,1,0,0,,,,,,,,,,,,
MidRight_Link_3,-0.0601821739751954,-3.53197869880104E-16,0.010581597987085,0,0,0,0.0217393761614031,2.00787196323977E-05,-7.74771259389682E-20,1.21157508511738E-05,5.15782871842401E-05,4.49614652860362E-20,6.00736400689355E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_3.STL,,joint3-17,Origin_MidRight_joint_3,Axis_MidRight_joint_3,MidRight_joint_3,continuous,0,0,0.079,3.1416,0.7854,-1.5708,MidRight_Link_2,0,1,0,,,,,,,,,,,,
MidRight_Link_4,8.32667268468867E-17,-0.0062186714819164,-2.77555756156289E-17,0,0,0,0.00206305784706667,5.40069862027422E-08,-6.25849693602948E-24,4.96308367531817E-24,8.37601485909068E-08,-2.99341248654535E-24,5.40069862027422E-08,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/MidRight_Link_4.STL,,joint4-7,Origin_MidRight_joint_4,Axis_MidRight_joint_4,MidRight_joint_4,fixed,-0.141507123292306,0,0.0427582841808011,2.31387630462524,0.811304701343985,-2.23898822262799,MidRight_Link_3,0,0,0,,,,,,,,,,,,
BackRight_Link_1,-1.38777878078145E-17,0.0255,0.0205,0,0,0,0.00922676977252029,4.24965979791987E-06,4.24450755419139E-22,5.9292306307801E-21,4.24965979791991E-06,-9.21397860125173E-22,5.2892705313521E-06,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_1.STL,,joint1-6,Origin_BackRight_joint_1,Axis_BackRight_joint_1,BackRight_joint_1,continuous,-0.056112,0.12062,0,1.5708,0,-2.4498,body_link,0,1,0,,,,,,,,,,,,
BackRight_Link_2,1.80411241501588E-16,0,-0.0395,0,0,0,0.106269557549334,8.39635619451228E-05,2.05305098681031E-20,6.18334051495639E-20,0.000102698438654554,-3.31645763284861E-21,2.73329764882054E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_2.STL,,joint2-2,Origin_BackRight_joint_2,Axis_BackRight_joint_2,BackRight_joint_2,continuous,0,0.0255,0.041,3.1416,0,3.1416,BackRight_Link_1,1,0,0,,,,,,,,,,,,
BackRight_Link_3,-0.0601821739751955,1.2490009027033E-16,0.0105815979870851,0,0,0,0.0217393761614032,2.00787196323978E-05,2.39710324072967E-19,1.21157508511738E-05,5.15782871842403E-05,-7.6232965252887E-20,6.00736400689357E-05,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_3.STL,,joint3-16,Origin_BackRight_joint_3,Axis_BackRight_joint_3,BackRight_joint_3,continuous,0,0,-0.079,0,-0.7854,1.5708,BackRight_Link_2,0,1,0,,,,,,,,,,,,
BackRight_Link_4,-2.77555756156289E-17,-0.0062186714819164,-1.11022302462516E-16,0,0,0,0.00206305784706667,5.40069862027422E-08,3.12260681238768E-23,6.61744490042422E-24,8.37601485909068E-08,-9.92616735063633E-24,5.40069862027422E-08,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Spider.SLDASM/meshes/BackRight_Link_4.STL,,joint4-6,Origin_BackRight_joint_4,Axis_BackRight_joint_4,BackRight_joint_4,fixed,-0.14151,0,0.042758,2.5739,-0.3392,-1.3617,BackRight_Link_3,0,0,0,,,,,,,,,,,,
